word,count
t e c h n o l o g i e s,2
p l a y e r,2
H a w k - E y e,2
H o t,1
S p o t,1
R e a l,1
T i m e,1
S n i c k o m e t e r,1
u m p i r i n g,1
s u g g e s t s,3
c a p a c i t y,1
c o n n e c t,1
a d u l t,1
r o l e,9
m o d e l s,1
p r o m o t e,6
l e a r n i n g,1
l i f e,8
r e c e n t,2
c r i m e,2
p r e v e n t,1
e x t r e m i s m,1
r a d i c a l i z a t i o n,1
t o o l,3
s e l f - e s t e e m,1
b o n d s,1
f e e l i n g,4
h i g h - q u a l i t y,2
e v i d e n c e,23
e f f e c t i v e n e s s,1
i n t e r v e n t i o n s,2
c o m m u n i t y,3
c a m p a i g n s,1
s e s s i o n s,1
c h a n g e s,2
s t u d i e s,7
i n v e s t i g a t e,3
e f f e c t,4
p r o m o t i n g,1
h e a l t h y,1
c h a n g e,8
P o l i t i c s,4
S p o r t s w a s h i n g,1
B e n i t o,1
M u s s o l i n i,1
1 9 3 4,1
I t a l y,2
s h o w c a s e,1
F a s c i s t,1
A d o l f,1
H i t l e r,1
1 9 3 6,2
S u m m e r,1
W i n t e r,1
G a r m i s c h - P a r t e n k i r c h e n,1
N a z i,1
i d e o l o g y,2
s u p e r i o r i t y,2
A r y a n,1
i n f e r i o r i t y,1
J e w s,1
u n d e s i r a b l e s,1
G e r m a n y,2
g i v e,5
o f f,3
p e a c e f u l,1
i m a g e,1
s e c r e t l y,1
p r e p a r i n g,1
W h e n,2
a p a r t h e i d,2
S o u t h,5
A f r i c a,5
p a r t i c u l a r l y,4
a d o p t e d,2
c o n s c i e n t i o u s,1
a p p r o a c h,6
a p p e a r,2
f e e l,2
e f f e c t i v e,1
c o n t r i b u t i o n,1
e v e n t u a l,2
d e m o l i t i o n,1
p r o l o n g e d,1
r e i n f o r c e d,1
w o r s t,1
e f f e c t s,4
h i s t o r y,132
I r e l a n d,1
G a e l i c,5
c o n n e c t e d,3
c u l t u r a l,16
n a t i o n a l i s m,3
U n t i l,3
m i d - 2 0 t h,1
c o u l d,5
h u r l i n g,1
a d m i n i s t e r e d,1
A t h l e t i c,1
G A A,3
s h e / h e,1
s u p p o r t e d,5
s e e n,5
B r i t i s h,4
o r i g i n,1
r e c e n t l y,2
b a n,3
R u l e,3
4 2,1
s t i l l,4
e n f o r c e d,1
C r o k e,1
P a r k,3
L a n s d o w n e,1
R o a d,3
r e d e v e l o p e d,1
A v i v a,1
S t a d i u m,1
u n d e r,17
2 1,2
m e m b e r s,5
s e c u r i t y,2
f o r c e s,10
R U C,1
G o o d,1
F r i d a y,1
A g r e e m e n t,1
r e m o v a l,1
N a t i o n a l i s m,2
e v i d e n t,1
p u r s u i t,2
r e p o r t i n g,1
c o m p e t e,2
c o m m e n t a t o r s,1
a d o p t,1
p a r t i s a n,1
v i e w,4
O n,5
o c c a s i o n,1
t e n s i o n s,1
l e a d,2
c o n f r o n t a t i o n,1
a m o n g,3
b e y o n d,1
F o o t b a l l,1
W a r,16
c o n t r a r y,1
f u n d a m e n t a l,1
c a r r i e d,3
p o l i t i c s,6
c o l l i d e d,1
1 9 7 2,2
M u n i c h,2
M a s k e d,1
e n t e r e d,2
h o t e l,1
I s r a e l i,1
k i l l e d,5
m a s s a c r e,1
s t u d y,24
e l e c t i o n s,2
s h o w n,1
a f f e c t,2
p u b l i s h e d,2
P r o c e e d i n g s,1
N a t i o n a l,16
A c a d e m y,1
S c i e n c e s,1
s h o w e d,2
h o m e,3
w i n s,2
b e f o r e,9
e l e c t i o n,16
i n c u m b e n t,2
c a n d i d a t e s,1
s h a r e,1
v o t e,2
1 . 5,1
p e r,1
c e n t,1
l o s s,3
o p p o s i t e,1
g r e a t e r,1
h i g h e r - p r o f i l e,1
u n e x p e c t e d,1
l o s s e s,1
A l s o,2
W a s h i n g t o n,3
R e d s k i n s,3
p r e s i d e n t,4
l i k e l y,2
l o s e,1
o p p o s i t i o n,9
c a n d i d a t e,1
c o n t r o l l i n g,2
s u b d u i n g,1
p o p u l a t i o n s,3
É t i e n n e,1
L a,3
B o é t i e,1
h i s,22
e s s a y,1
D i s c o u r s e,1
V o l u n t a r y,1
S e r v i t u d e,1
d e s c r i b e s,2
s p e c t a c l e s,2
t y r a n t s,1
s u b j e c t s,2
d i s t r a c t i n g,1
t h e m,12
D o,1
i m a g i n e,1
b i r d,2
e a s i l y,2
c a u g h t,2
d e c o y,1
n o r,2
f i s h,5
s o o n e r,1
f i x e d,1
h o o k,1
w o r m y,1
b a i t,2
p o o r,1
f o o l s,1
n e a t l y,1
t r i c k e d,1
s e r v i t u d e,1
s l i g h t e s t,2
f e a t h e r,1
p a s s e d,3
s p e a k,1
m o u t h s,1
T r u l y,1
m a r v e l l o u s,1
l e t,1
t h e m s e l v e s,10
q u i c k l y,3
t i c k l i n g,1
f a n c y,1
P l a y s,1
f a r c e s,1
g l a d i a t o r s,1
s t r a n g e,1
b e a s t s,1
m e d a l s,1
p i c t u r e s,2
o p i a t e s,1
p e o p l e s,2
s l a v e r y,4
p r i c e,1
l i b e r t y,2
i n s t r u m e n t s,1
t y r a n n y,1
B y,6
p r a c t i c e s,4
e n t i c e m e n t s,1
d i c t a t o r s,1
s u c c e s s f u l l y,3
l u l l e d,1
y o k e,1
s t u p e f i e d,1
f a s c i n a t e d,1
p a s t i m e s,1
v a i n,1
p l e a s u r e s,1
f l a s h e d,1
e y e s,1
l e a r n e d,1
s u b s e r v i e n c e,1
n a ï v e l y,1
c r e d i t a b l y,1
l i t t l e,1
l e a r n,3
r e a d,2
b r i g h t,1
p i c t u r e,1
b o o k s,2
D u r i n g,4
r u l e,5
B e n g a l,1
s u p p l a n t,1
B e n g a l i,1
r e s u l t i n g,1
n a t i v e,2
R e l i g i o u s,2
N e w,3
T e s t a m e n t,1
m e t a p h o r s,1
f o o t,1
d e d i c a t e d,2
Z e u s,2
P a n a t h e n a i c,1
a m p h o r a,1
K l e o p h r a d e s,1
p a i n t e r,1
c .,6
5 0 0,3
L o u v r e,1
m u s e u m,1
w o r s h i p,2
G r e e k,7
r e l i g i o n,5
h o n o u r,1
d e i t y,1
f e a t u r e d,1
v a r i o u s,6
r e l i g i o u s,4
d e d i c a t i o n,1
h i m,6
g o d s,1
p r a c t i c e,1
c r i t i c i s e d,1
C h r i s t i a n,4
t h i n k e r s,1
i d o l a t r y,2
h u m a n,25
b e i n g s,2
e x t o l,1
a d o r e,1
s a c r i f i c e,1
r e w a r d,1
c r i t i c s,2
m a n i f e s t a t i o n,1
c o l l e c t i v e,3
p r i d e,2
s e l f - d e i f i c a t i o n,1
f e a t s,1
p o w e r,17
i d o l i s e d,1
e x p e n s e,1
d i v i n e,1
T e r t u l l i a n,2
c o n d e m n s,1
d a y,1
i n s i s t i n g,1
e n t i r e,3
a p p a r a t u s,1
u p o n,1
s a y s,1
e x c i t e,1
p a s s i o n s,1
f o r e i g n,6
c a l m,1
t e m p e r a m e n t,1
c u l t i v a t e d,2
G o d,2
e n j o i n e d,1
u s,1
d e a l,2
c a l m l y,1
g e n t l y,1
q u i e t l y,1
p e a c e f u l l y,1
H o l y,1
S p i r i t,1
b e c a u s e,6
t h i n g s,2
k e e p i n g,2
g o o d n e s s,1
H i s,3
t e n d e r n e s s,1
s e n s i t i v e n e s s,1
W e l l,1
s h a l l,1
a c c o r d,1
?,4
a l w a y s,2
l e a d s,2
s p i r i t u a l,1
a g i t a t i o n,1
p l e a s u r e,2
k e e n n e s s,2
g i v i n g,3
z e s t,2
r i v a l r y,2
T h e n,1
t o o,4
r a g e,1
b i t t e r n e s s,1
w r a t h,1
g r i e f,1
b a d,1
f l o w,2
w h o l e,5
e n t i r e l y,2
o u t,9
C h r i s t,1
c l e r i c s,1
W e s l e y a n - H o l i n e s s,1
m o v e m e n t,2
o p p o s e,2
b e l i e v i n g,1
p r o f a n e,1
S a b b a t h,1
p r i m a r y,11
c o m m i t m e n t,2
e x h i b i t,1
l a c k,3
m o d e s t y,1
c h e e r l e a d e r s,1
u n i f o r m s,1
e x t e n s i v e,3
p r o f a n i t y,1
a l c o h o l,1
g o,1
t e e t o t a l i s m,1
g e n e r a l,20
s e e,6
H u m a n,3
E a r t h,2
d i s a m b i g u a t i o n,1
P a r t,2
s e r i e s,6
S t u d y,1
I n d e x O u t l i n e G l o s s a r y,1
c o n c e p t s,2
P e r i o d s,1
r e g i o n,10
N o t a b l e,1
h i s t o r i a n s,29
T i m e l i n e s,1
p o r t a l,1
C a t e g o r y,1
v t e,1
d e r i v e d,1
ἱ σ τ ο ρ ί α,2
h i s t o r í a,2
' i n q u i r y,2
k n o w l e d g e,9
a c q u i r e d,1
i n v e s t i g a t i o n,3
s y s t e m a t i c,1
d o c u m e n t a t i o n,2
n a r r a t i v e,14
e x a m i n e,5
q u e s t i o n,3
a n a l y s e,1
p a t t e r n s,4
c a u s e,1
H i s t o r i a n s,7
b e s t,2
e x p l a i n s,2
s i g n i f i c a n c e,1
c a u s e s,3
i t s e l f,4
u s e f u l n e s s,1
p e r s p e c t i v e,5
p r o b l e m s,2
p e r i o d,18
i n v e n t i o n,3
w r i t i n g,11
s y s t e m s,5
p r e h i s t o r y,6
u m b r e l l a,1
c o m p r i s i n g,1
m e m o r y,3
d i s c o v e r y,5
c o l l e c t i o n,2
o r g a n i z a t i o n,3
p r e s e n t a t i o n,3
i n t e r p r e t a t i o n,4
s e e k,1
h i s t o r i c a l,40
w r i t t e n,10
d o c u m e n t s,10
o r a l,6
a c c o u n t s,5
h i s t o r i e s,4
a r t i f a c t s,2
e c o l o g i c a l,2
m a r k e r s,1
S t o r i e s,1
e x t e r n a l,4
t a l e s,1
s u r r o u n d i n g,3
K i n g,12
A r t h u r,1
h e r i t a g e,6
l e g e n d s,2
d i f f e r s,1
m y t h,2
v e r i f i a b l e,1
i n f l u e n c e s,3
h e l p e d,2
c r e a t e,1
v a r i a n t,1
i n t e r p r e t a t i o n s,4
e v o l v e d,2
c e n t u r i e s,11
c o n t i n u e,2
t o d a y,2
w i d e - r a n g i n g,1
i n c l u d e s,7
r e g i o n s,5
t o p i c a l,1
t h e m a t i c,5
t a u g h t,2
s e c o n d a r y,6
u n i v e r s i t i e s,5
H e r o d o t u s,2
5 t h - c e n t u r y,1
B C E,7
h i s t o r i a n,6
f a t h e r,6
W e s t e r n,10
t r a d i t i o n,2
t h o u g h,3
h e,11
c r i t i c i z e d,2
l i e s,3
A l o n g,1
c o n t e m p o r a r y,3
T h u c y d i d e s,2
f o u n d a t i o n s,2
s o c i e t i e s,5
T h e i r,3
w o r k s,5
c u l t u r e - f o c u s e d,1
m i l i t a r y - f o c u s e d,1
r e m a i n s,4
p o i n t,1
c o n t e n t i o n,1
E a s t,4
A s i a,15
s t a t e,16
c h r o n i c l e,2
S p r i n g,1
A u t u m n,1
A n n a l s,1
r e p u t e d,1
d a t e,3
7 2 2,1
2 n d - c e n t u r y,1
t e x t s,3
s u r v i v e d,1
t i t l e,4
a t t r i b u t e d,1
r e s p e c t i v e,1
S i m a,1
Q i a n,1
I b n,1
K h a l d u n,1
K e n n e t h,1
D i k e,1
c o n c e p t u a l i z e s,1
h a p p e n e d,11
c o l l e c t i n g,2
a n a l y s i n g,2
c o n s t r u c t,3
n a r r a t i v e s,8
c o v e r,3
u n f o l d e d,1
w h y,4
c o n t e x t s,4
p r o v i d i n g,2
e x p l a n a t i o n,1
r e l e v a n t,2
b a c k g r o u n d,2
c o n d i t i o n s,1
c a u s a l,1
m e c h a n i s m s,1
e x a m i n e s,7
u n d e r l y i n g,1
m o t i v e s,1
d r i v i n g,1
s l i g h t l y,2
s e n s e,6
r e f e r s,2
f i e l d,6
s t u d y i n g,2
c o u n t a b l e,1
r e p r e s e n t a t i o n,3
t e x t,3
p r o d u c t s,1
a c t i v e,2
r e c o n s t r u c t i o n,2
p r e s e n t e d,1
d i s c o v e r,2
n e w,14
r e i n t e r p r e t,1
a l r e a d y - k n o w n,1
c o n t r a s t,2
s t a t i c,1
u n c h a n g e a b l e,1
i n t e r p r e t a t i v e,2
e x p l a n a t o r y,1
a s p e c t s,4
d i s t i n g u i s h,1
c h r o n i c l e s,2
a r g u i n g,1
c a t a l o g,1
c h r o n o l o g i c a l,1
w h e r e a s,1
c o m p r e h e n s i v e,3
u n d e r s t a n d i n g,5
c o n s e q u e n c e s,2
[,24
],24
T r a d i t i o n a l l y,2
c o n c e r n e d,1
f o c u s e d,2
r e c o r d e d,6
l e a v i n g,1
b,2
f i e l d s,6
a r c h e o l o g y,3
T o d a y,1
b r o a d e r,3
s c o p e,7
s t a r t i n g,4
e a r l i e s t,3
o r i g i n s,3
c,1
h u m a n i t i e s,3
L i k e,1
s c i e n t i s t s,1
f o r m u l a t e,1
h y p o t h e s e s,1
g a t h e r,1
a r g u m e n t s,1
A t,2
a l i g n s,1
c l o s e l y,4
r e l i a n c e,1
s t o r y t e l l i n g,2
e x p e r i e n c e,2
s t r o n g l y,2
s u p p o r t,11
c h a r a c t e r i z e,2
h y b r i d,1
b e l o n g,1
e x c l u s i o n,1
c o n t r a s t s,2
p s e u d o h i s t o r y,2
d e v i a t e s,1
h i s t o r i o g r a p h i c a l,1
s t a n d a r d s,3
r e l y i n g,3
d i s p u t e d,4
s e l e c t i v e l y,1
i g n o r i n g,2
g e n u i n e,1
d i s t o r t,1
r e c o r d,5
m o t i v a t e d,1
i d e o l o g i c a l,2
a g e n d a s,1
p s e u d o h i s t o r i a n s,1
m i m i c,1
m e t h o d o l o g y,2
m i s l e a d i n g,2
r i g o r o u s,1
s c h o l a r l y,4
c o n s e n s u s,1
P u r p o s e,1
s u g g e s t i o n s,1
p r o p o s e,2
f u n c t i o n,2
p u r e,1
t r u t h,3
e m p h a s i z e s,1
d i s i n t e r e s t e d,1
p u r p o s e s,2
t h r e a t e n,1
u n d e r m i n e,1
a c c u r a c y,3
r e s e a r c h,7
d i s t o r t i n g,1
m y t h s,1
l a c k i n g,1
f a c t u a l,1
m a i n,4
l e s s o n s,2
t e a c h e s,1
i d e a,1
g u i d e,1
a v o i d,2
r e p e a t i n g,1
p r e v i o u s,1
m i s t a k e s,1
r e l a t e d,8
f o c u s e s,3
c o n d i t i o n,1
a w a r e,2
d i v e r s i t y,1
a c r o s s,6
c o n t e x t s — s i m i l a r,1
v i s i t i n g,2
c o u n t r i e s,7
f o s t e r,2
c o h e s i o n,1
s h a r e d,2
h e l p i n g,1
p r e s e r v e,1
c u l t i v a t e,1
v a l u e s,1
g e n e r a t i o n s,1
p o l i t i c a l,14
j u s t i f y,1
s t a t u s,1
q u o,1
t r a d i t i o n s,2
r e s p e c t a b l e,1
h i g h l i g h t i n g,1
i n j u s t i c e s,1
P u s h e d,1
e x t r e m e,2
d e n i a l i s m,1
i n t e n t i o n a l l y,1
i g n o r e d,2
m i s i n t e r p r e t e d,1
s e r v i n g,1
i n t e r e s t s,1
F r e d e r i c k,2
D i e l m a n,1
1 8 9 6,1
r o m a n i z e d,1
h i s t o r í ā,1
l i t,1
i n q u i r y,6
j u d g e,2
A r i s t o t l e,1
A n i m a l s,1
a n c e s t o r,1
ἵ σ τ ω ρ,1
a t t e s t e d,3
H o m e r i c,1
H y m n s,1
H e r a c l i t u s,1
A t h e n i a n,1
e p h e b e s,1
o a t h,1
B o e o t i c,1
i n s c r i p t i o n s,2
w i t n e s s,1
s i m i l a r,1
b o r r o w e d,2
C l a s s i c a l,1
L a t i n,3
h i s t o r i a,3
d e s c r i p t i o n,2
s t o r y,7
p o s s i b l y,2
v i a,3
I r i s h,1
W e l s h,1
s t æ r,1
f e l l,3
l a t e,8
M e a n w h i l e,4
A n g l o - N o r m a n,2
d e v e l o p e d,3
i s t o r i e,1
e s t o i r e,1
h i s t o r i e,1
d e v e l o p m e n t s,9
b e g i n n i n g,7
1 2 t h,3
g r o u p,4
1 1 5 5,1
d r a m a t i c,1
p i c t o r i a l,1
1 2 4 0,1
b o d y,2
r e l a t i v e,1
e v o l u t i o n,6
1 2 6 5,1
r e a l,2
i m a g i n a r y,1
1 4 6 2,1
M i d d l e,2
p e r s i s t e d,1
1 3 t h - c e n t u r y,1
A n c r e n e,1
W i s s e,1
s e e m s,1
1 4 t h,3
a t t e s t a t i o n,1
a p p e a r i n g,1
J o h n,1
G o w e r,1
C o n f e s s i o,1
A m a n t i s,1
1 3 9 0 s,1
V I . 1 3 8 3,1
I,4
f i n d e,1
b o k,1
c o m p i l e d,1
|,2
T o,3
m a t i e r e,1
o l d,1
h i s t o i r e,2
c o m t h,1
n o u,1
m i,3
m e m o i r e,1
r e s t r i c t i o n,1
b r a n c h,5
d e a l s,1
f o r m a l,2
e s p,1
a f f a i r s,1
a r o s e,2
m i d - 1 5 t h,1
W i t h,1
R e n a i s s a n c e,1
s e n s e s,1
r e v i v e d,1
F r a n c i s,1
B a c o n,1
1 6 t h,2
w r o t e,1
n a t u r a l,2
o b j e c t s,2
s o r t,1
r e a s o n,2
p o e t r y,1
f a n t a s y,1
e x p r e s s i o n,1
l i n g u i s t i c,1
s y n t h e t i c,2
v s .,2
a n a l y t i c / i s o l a t i n g,1
d i c h o t o m y,1
C h i n e s e,2
史,1
诌,1
d e s i g n a t e s,2
s e p a r a t e,2
w o r d s,2
G e r m a n,2
G e r m a n i c,1
R o m a n c e,1
l a n g u a g e s,2
s o l i d l y,1
h i g h l y,1
i n f l e c t e d,1
m e a n,2
H i s t o r i a n,1
r e s e a r c h e r,1
1 5 3 1,1
s u b s t a n t i v e,1
h i s t o r i o g r a p h y,3
a d j e c t i v e,1
1 6 6 1,1
h i s t o r i c,2
1 6 6 9,1
D e s c r i p t i o n,1
p a g e,2
w r i t e,3
c o n t e x t,3
r e g a r d,1
c u r r e n t,2
d o m i n a n t,6
i d e a s,5
i n t e r p r e t,3
s o c i e t y,2
B e n e d e t t o,1
C r o c e,1
f a c i l i t a t e d,3
f o r m a t i o n,2
t r u e,2
d i s c o u r s e,3
p r o d u c t i o n,6
r e l a t i n g,1
i n s t i t u t i o n a l,1
r e m e m b e r e d,1
p r e s e r v e d,2
a u t h e n t i c,1
c o n s t i t u t e,1
t a s k,1
i d e n t i f y,3
u s e f u l l y,1
c o n t r i b u t e,2
a c c u r a t e,1
T h e r e f o r e,1
c o n s t i t u t i o n,2
a r c h i v e,2
c i r c u m s c r i b i n g,1
i n v a l i d a t i n g,1
f a l s i f y i n g,1
c l a i m s,1
r e p r e s e n t,1
s k i l l f u l l y,1
o b j e c t i v e l y,1
f o u n d,5
a r c h i v e s,2
p r o c e s s,6
c r e a t i n g,1
i n e v i t a b l y,1
g e n e r a t e s,1
r e m e m b e r,2
e m p h a s i z e,2
s c i e n c e s,2
b r o a d,4
i n c o r p o r a t i n g,1
m e t h o d o l o g i e s,2
2 0 t h,6
A n n a l e s,2
r e v o l u t i o n i z e d,1
o u t s i d e,3
d i s c i p l i n e s,1
e c o n o m i c s,2
s o c i o l o g y,1
g e o g r a p h y,1
p a s s i n g,2
a t t e m p t e d,1
a n s w e r,2
q u e s t i o n s,4
m o n u m e n t s,1
s e p a r a t e d,2
c a t e g o r i e s,1
s a i d,5
p h y s i c a l l y,1
c o n s u l t,1
B u t,1
m a r k e r,1
s e p a r a t e s,1
A r c h a e o l o g y,1
h e l p f u l,1
u n e a r t h i n g,1
b u r i e d,1
s i t e s,4
A r c h e o l o g i c a l,1
f i n d s,1
r a r e l y,1
s t a n d,2
c o m p l e m e n t i n g,1
d i s c o v e r i e s,2
A r c h e o l o g y,1
a p p r o a c h e s,4
i n d e p e n d e n t,2
H i s t o r i c a l,4
a r c h a e o l o g y,2
c o n c l u s i o n s,2
t e x t u a l,2
M a r k,1
L e o n e,1
e x c a v a t o r,1
i n t e r p r e t e r,1
A n n a p o l i s,1
M a r y l a n d,1
s o u g h t,2
u n d e r s t a n d,4
c o n t r a d i c t i o n,1
i d e a l i z i n g,1
d e m o n s t r a t i n g,1
p o s s e s s i o n,1
s l a v e s,4
i n e q u a l i t i e s,1
w e a l t h,2
a p p a r e n t,1
e n v i r o n m e n t,2
v a r i e t i e s,1
w a y s,1
c h r o n o l o g i c a l l y,1
c u l t u r a l l y,1
t e r r i t o r i a l l y,1
t h e m a t i c a l l y,1
d i v i s i o n s,1
m u t u a l l y,1
e x c l u s i v e,1
s i g n i f i c a n t,5
i n t e r s e c t i o n s,1
p o s s i b l e,1
v e r y,3
t r e n d,1
s p e c i a l i z a t i o n,2
a r e a,12
B i g,3
r e s i s t s,1
s e a r c h e s,1
u n i v e r s a l,1
s t u d i e d,6
p r a c t i c a l,1
t h e o r e t i c a l,2
s i m p l e,2
c u r i o s i t y,1
H i s t o r i o g r a p h y,3
H i s t o r i a,1
d ' I t a l i a,1
F i r s t l y,1
r e f e r,5
p r o d u c e d,6
m o v e,1
s h o r t - t e r m,1
b i o g r a p h i c a l,1
l o n g - t e r m,2
S e c o n d l y,1
m e d i e v a l,3
1 9 6 0 s,3
W o r k s,1
T h i r d l y,1
p h i l o s o p h y,4
m e t a - l e v e l,1
d e s c r i p t i o n s,1
c o n c e p t i o n,1
r e l a t e,1
m e t h o d,3
c o h e r e n t,1
M e t h o d s,1
t e c h n i q u e s,3
c o v e r i n g,2
p r o c e s s e s,2
e v a l u a t i n g,2
s y n t h e s i z i n g,1
d,1
s e e k s,3
r i g o r,1
r e l i a b i l i t y,1
c h o s e n,1
a n a l y s e d,1
i n t e r p r e t e d,1
s t a r t s,2
d e f i n e,1
O t h e r s,4
e x p l a i n,1
o c c u r r e d,5
r e f u t e,1
t h e o r y,1
c o n f i r m,1
h y p o t h e s i s,1
S o u r c e s,1
c r i t i c i s m,6
t y p e s,2
r e c o n s t r u c t,1
P r i m a r y,2
l e t t e r s,1
d i a r i e s,1
e y e w i t n e s s,2
p h o t o g r a p h s,2
a u d i o,1
r e c o r d i n g s,1
e x a m i n e d,1
g e o l o g y,2
m e d i c a l,2
f o s s i l s,1
u n e a r t h e d,1
e x c a v a t i o n s,1
o f f e r,2
d i r e c t,2
a n a l y s e s,1
i n t e r p r e t s,2
W h e t h e r,1
d o c u m e n t,3
d e p e n d s,1
w r i t e s,1
o p i n i o n,1
e,1
C o n s i s t e n c y,1
